maar,dummy,FDI,
1.592116903,0,"4,219",
1.727039141,0,"4,219",
1.042541338,0,"4,552",
0.484953959,0,"4,552",
1.99289717,0,"4,552",
0.788874748,0,"4,552",
0.45725883,0,"5,163",
0.810924174,0,"4,512",
1.087727443,0,"4,512",
0.775871988,0,"4,512",
0.920955862,0,"4,512",
0.765694774,0,"4,512",
1.071548088,0,"4,512",
0.793145477,0,"4,512",
0.767817623,0,"3,208",
1.302570851,0,"3,208",
1.178664472,0,"3,208",
0.604006055,0,"3,208",
0.642132432,0,"3,208",
0.264542143,0,"3,208",
0.167249596,0,"2,900",
0.37381365,0,"2,900",
1.597589272,0,"3,136",
0.404642464,0,"3,136",
0.87444959,0,"3,136",
0.654670926,0,"3,003",
0.613144045,0,"3,003",
1.064181555,0,"3,160",
1.084523888,0,"3,160",
1.015817784,0,"3,160",
1.311409056,0,"2,921",
0.595688967,0,"2,921",
0.374233652,0,"2,921",
0.08831478,0,"3,262",
1.039340944,0,"3,262",
0.799010502,0,"3,262",
0.706225223,0,"3,262",
1.237258855,0,"4,484",
0.768173827,0,"4,484",
0.70922339,0,"3,152",
1.592427834,0,"3,152",
1.615406563,0,"4,730",
1.352339549,0,"4,730",
2.4130093,0,"3,310",
1.784576556,0,"3,310",
0.439542882,0,"3,310",
0.193051712,0,"3,310",
0.382436115,0,"3,310",
1.833902772,0,"1,832",
0.381749076,0,"1,854",
0.392895723,0,"1,854",
0.690831027,0,"3,454",
1.81443804,0,"3,454",
0.702019752,0,"4,407",
1.698485448,0,"2,728",
1.186776117,0,"2,728",
0.453934066,0,"3,891",
1.326443691,0,"4,719",
1.586845152,0,"4,719",
1.367140629,0,"4,838",
1.803251136,0,"4,530",
1.510141406,0,"4,530",
0.477086367,0,"4,530",
1.349611208,0,"4,530",
0.522340719,0,"4,530",
0.217863072,0,"4,530",
1.105735627,0,"4,530",
1.102290411,0,"4,530",
1.158478134,0,"4,530",
1.104935049,0,"4,530",
0.595952517,0,"4,530",
0.297011458,0,"4,530",
